Comment,Designator,Footprint,LCSC Part #
5nF,C13 C14 C15,R0402,C1538
10k,R1,R0402,C25744
22k,R3 R6 R9 R12 R15 R18 R21 R24 R27 R30 R33 R36,R0402,C25768
33k,R2 R5 R8 R11 R14 R17 R20 R23 R26 R29 R32 R35,R0402,C25779
33pF,C24 C25 C26 C27,R0402,C1562
47k,R4 R7 R10 R13 R16 R19 R22 R25 R28 R31 R34 R37 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R79 R80 R81 R82,R0402,C25792
75k,R78,R0402,C258139
100R,R38 R39 R40,R0402,C25076
100k,R69 R70 R71 R72,R0402,C25741
100nF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C16 C17 C18 C19 C20 C21 C22 C23,C0402,C307331
105k,R77,R0402,C102762
220k,R73 R74 R75 R76,R0402,C304590
AS3364D,DA1 DA2 DA3,DIL16J,C72130
DG412-J,IC8 IC9 IC10 IC11,DIL16J,C72130
PCA9539PW,IC1,TSSOP24J,C2687996
TL072JT,IC3 IC6,TSSOP8J,C85346
TL074JT,IC2 IC4 IC14,TSSOP14J,C2652279
CON8,SV1 SV3 SV4 SV33,CON8,C706871
